iter	Passed	Remaining
518	5568	5160
519	5578	5149
520	5588	5137
521	5598	5126
522	5609	5116
523	5620	5105
524	5629	5093
525	5640	5083
526	5651	5072
527	5661	5061
528	5672	5050
529	5682	5038
530	5690	5026
531	5702	5016
532	5712	5004
533	5722	4993
534	5732	4982
535	5742	4971
536	5753	4960
537	5764	4950
538	5773	4938
539	5786	4929
540	5796	4917
541	5807	4907
542	5817	4895
543	5828	4885
544	5838	4874
545	5850	4864
546	5863	4855
547	5875	4845
548	5884	4833
549	5895	4823
550	5906	4813
551	5915	4800
552	5923	4788
553	5932	4776
554	5945	4767
555	5956	4756
556	5969	4747
557	5978	4735
558	5987	4723
559	5996	4711
560	6007	4700
561	6018	4690
562	6029	4679
563	6039	4669
564	6049	4657
565	6060	4646
566	6069	4635
567	6079	4624
568	6089	4612
569	6099	4601
570	6108	4589
571	6117	4577
572	6125	4565
573	6136	4554
574	6148	4544
575	6159	4534
576	6171	4524
577	6182	4513
578	6193	4503
579	6204	4492
580	6214	4481
581	6224	4470
582	6235	4460
583	6247	4450
584	6257	4439
585	6265	4426
586	6276	4415
587	6287	4405
588	6296	4393
589	6306	4382
590	6317	4372
591	6327	4361
592	6339	4350
593	6350	4340
594	6361	4330
595	6372	4319
596	6382	4308
597	6393	4297
598	6404	4287
599	6413	4275
600	6425	4266
601	6436	4255
602	6448	4245
603	6458	4234
604	6469	4223
605	6478	4212
606	6488	4200
607	6499	4190
608	6509	4179
609	6520	4169
610	6533	4159
611	6544	4149
612	6556	4139
613	6568	4129
614	6578	4118
615	6590	4108
616	6600	4097
617	6610	4086
618	6621	4075
619	6632	4065
620	6644	4055
621	6654	4043
622	6663	4032
623	6674	4021
624	6682	4009
625	6692	3998
626	6702	3987
627	6713	3976
628	6725	3966
629	6734	3954
630	6745	3944
631	6759	3935
632	6769	3924
633	6778	3913
634	6788	3902
635	6799	3891
636	6809	3880
637	6820	3869
638	6831	3859
639	6842	3848
640	6853	3838
641	6864	3827
642	6878	3818
643	6887	3807
644	6898	3796
645	6909	3786
646	6919	3775
647	6930	3764
648	6940	3753
649	6953	3744
650	6966	3734
651	6978	3724
652	6989	3714
653	6999	3703
654	7009	3692
655	7018	3680
656	7028	3669
657	7038	3658
658	7048	3647
659	7059	3636
660	7070	3626
661	7078	3614
662	7089	3603
663	7098	3591
664	7107	3580
665	7120	3570
666	7130	3559
667	7140	3549
668	7152	3538
669	7164	3528
670	7174	3517
671	7184	3506
672	7194	3495
673	7203	3484
674	7212	3472
675	7221	3461
676	7231	3450
677	7241	3439
678	7253	3429
679	7264	3418
680	7274	3407
681	7284	3396
682	7294	3385
683	7304	3374
684	7315	3363
685	7325	3353
686	7336	3342
687	7348	3332
688	7359	3321
689	7370	3311
690	7378	3299
691	7389	3288
692	7399	3278
693	7407	3266
694	7418	3255
695	7430	3245
696	7439	3234
697	7450	3223
698	7462	3213
699	7473	3202
700	7485	3192
701	7494	3181
702	7505	3170
703	7516	3160
704	7526	3149
705	7536	3138
706	7550	3129
707	7563	3119
708	7573	3108
709	7584	3097
710	7594	3087
711	7605	3076
712	7615	3065
713	7625	3054
714	7634	3043
715	7644	3032
716	7656	3021
717	7669	3012
718	7679	3001
719	7689	2990
720	7699	2979
721	7709	2968
722	7719	2957
723	7729	2946
724	7740	2936
725	7752	2925
726	7764	2915
727	7775	2905
728	7785	2894
729	7796	2883
730	7806	2872
731	7816	2861
732	7826	2850
733	7836	2840
734	7848	2829
735	7858	2818
736	7868	2808
737	7879	2797
738	7891	2787
739	7900	2775
740	7910	2765
741	7919	2753
742	7930	2743
743	7939	2731
744	7950	2721
745	7961	2710
746	7972	2700
747	7981	2689
748	7991	2678
749	8001	2667
750	8010	2655
751	8020	2645
752	8029	2633
753	8040	2623
754	8051	2612
755	8061	2601
756	8070	2590
757	8078	2579
758	8089	2568
759	8097	2557
760	8109	2546
761	8122	2537
762	8132	2526
763	8143	2515
764	8154	2505
765	8167	2495
766	8178	2484
767	8190	2474
768	8201	2463
769	8211	2452
770	8224	2442
771	8236	2432
772	8248	2422
773	8261	2412
774	8274	2402
775	8285	2391
776	8296	2381
777	8306	2370
778	8318	2359
779	8329	2349
780	8342	2339
781	8354	2328
782	8364	2318
783	8375	2307
784	8387	2297
785	8400	2287
786	8415	2277
787	8427	2267
788	8441	2257
789	8453	2247
790	8463	2236
791	8473	2225
792	8484	2214
793	8494	2203
794	8505	2193
795	8515	2182
796	8524	2171
797	8536	2160
798	8546	2149
799	8555	2138
800	8568	2128
801	8580	2118
802	8590	2107
803	8600	2096
804	8610	2085
805	8619	2074
806	8628	2063
807	8640	2053
808	8651	2042
809	8663	2032
810	8673	2021
811	8683	2010
812	8693	1999
813	8703	1988
814	8713	1977
815	8722	1966
816	8732	1955
817	8744	1945
818	8755	1934
819	8766	1924
820	8775	1913
821	8786	1902
822	8797	1892
823	8807	1881
824	8819	1870
825	8829	1860
826	8838	1849
827	8850	1838
828	8863	1828
829	8872	1817
830	8881	1806
831	8893	1795
832	8904	1785
833	8914	1774
834	8922	1763
835	8931	1752
836	8942	1741
837	8951	1730
838	8960	1719
839	8968	1708
840	8982	1698
841	8993	1687
842	9004	1676
843	9014	1666
844	9026	1655
845	9036	1644
846	9047	1634
847	9058	1623
848	9068	1612
849	9077	1601
850	9087	1591
851	9098	1580
852	9110	1570
853	9120	1559
854	9131	1548
855	9142	1538
856	9154	1527
857	9165	1516
858	9177	1506
859	9187	1495
860	9197	1484
861	9207	1474
862	9216	1463
863	9229	1452
864	9241	1442
865	9251	1431
866	9262	1420
867	9272	1410
868	9284	1399
869	9292	1388
870	9303	1377
871	9314	1367
872	9326	1356
873	9336	1346
874	9347	1335
875	9358	1324
876	9368	1313
877	9378	1303
878	9387	1292
879	9396	1281
880	9406	1270
881	9418	1260
882	9426	1248
883	9436	1238
884	9444	1227
885	9454	1216
886	9465	1205
887	9475	1195
888	9486	1184
889	9496	1173
890	9505	1162
891	9516	1152
892	9524	1141
893	9536	1130
894	9549	1120
895	9562	1109
896	9574	1099
897	9583	1088
898	9593	1077
899	9604	1067
900	9615	1056
901	9625	1045
902	9634	1034
903	9645	1024
904	9654	1013
905	9665	1002
906	9676	992
907	9685	981
908	9696	970
909	9706	959
910	9716	949
911	9726	938
912	9736	927
913	9747	917
914	9758	906
915	9770	896
916	9780	885
917	9791	874
918	9799	863
919	9810	853
920	9820	842
921	9830	831
922	9840	820
923	9851	810
924	9863	799
925	9875	789
926	9886	778
927	9897	767
928	9908	757
929	9918	746
930	9930	735
931	9941	725
932	9953	714
933	9964	704
934	9974	693
935	9987	682
936	9997	672
937	10006	661
938	10016	650
939	10025	639
940	10036	629
941	10048	618
942	10059	608
943	10071	597
944	10082	586
945	10092	576
946	10104	565
947	10113	554
948	10124	544
949	10136	533
950	10147	522
951	10157	512
952	10168	501
953	10179	490
954	10188	480
955	10197	469
956	10208	458
957	10219	448
958	10230	437
959	10242	426
960	10253	416
961	10265	405
962	10275	394
963	10288	384
964	10299	373
965	10312	362
966	10324	352
967	10333	341
968	10345	330
969	10357	320
970	10369	309
971	10380	299
972	10390	288
973	10401	277
974	10412	266
975	10422	256
976	10433	245
977	10444	234
978	10456	224
979	10466	213
980	10475	202
981	10485	192
982	10496	181
983	10506	170
984	10516	160
985	10527	149
986	10539	138
987	10549	128
988	10561	117
989	10572	106
990	10581	96
991	10596	85
992	10607	74
993	10617	64
994	10626	53
995	10637	42
996	10648	32
997	10657	21
998	10668	10
999	10678	0
