iter	MultiClass
0	1.006381758
1	0.9268702877
2	0.8573930432
3	0.7960235615
4	0.7413843626
5	0.6923736979
6	0.6481594122
7	0.6080586558
8	0.5715753968
9	0.5382253844
10	0.5076186446
11	0.4794886223
12	0.453562159
13	0.4295979973
14	0.4074326327
15	0.3868383557
16	0.367702877
17	0.3499105283
18	0.3332998202
19	0.317843254
20	0.303375682
21	0.2898321553
22	0.277187066
23	0.2653360925
24	0.2542348245
25	0.2437826296
26	0.2340059524
27	0.2248175998
28	0.2161633185
29	0.2080137494
30	0.2003428354
31	0.1931265501
32	0.1863462147
33	0.1800955791
34	0.1740431393
35	0.1684391741
36	0.1632249814
37	0.1581241164
38	0.153507084
39	0.1489580853
40	0.1446687283
41	0.1407932788
42	0.1369486142
43	0.1334037698
44	0.1299671146
45	0.1268734499
46	0.1237794209
47	0.1210210348
48	0.1182707558
49	0.1158154529
50	0.113328528
51	0.1111361995
52	0.1089832744
53	0.1068973757
54	0.1048801696
55	0.1029353299
56	0.1011910497
57	0.0995210271
58	0.09795923239
59	0.0964601392
60	0.09502367777
61	0.0936749597
62	0.09240352183
63	0.09119310361
64	0.09005147879
65	0.08897249349
66	0.08784509859
67	0.08684774926
68	0.08585491846
69	0.08491985212
70	0.08410146949
71	0.08326068793
72	0.082472726
73	0.08178150577
74	0.08105109902
75	0.08041290768
76	0.07978078497
77	0.07917196026
78	0.07857917132
79	0.07801471044
80	0.07752482484
81	0.07706885541
82	0.07658865017
83	0.07613203745
84	0.07566302393
85	0.07530019996
86	0.07491242715
87	0.07457257564
88	0.07420373729
89	0.07387203931
90	0.07352166264
91	0.07323325893
92	0.07297001333
93	0.07272009084
94	0.07241226438
95	0.07216297743
96	0.07196925378
97	0.07179553416
98	0.07161238994
99	0.0713664047
100	0.07122175719
101	0.07105430773
102	0.07080285838
103	0.07058076792
104	0.07040137494
105	0.07025977338
106	0.07015028212
107	0.07000895182
108	0.06989464751
109	0.0697859623
110	0.0695992296
111	0.06945179191
112	0.06933554998
113	0.06923928881
114	0.06914897228
115	0.06904083736
116	0.0689843905
117	0.06892141772
118	0.06876929874
119	0.06870837209
120	0.06863130115
121	0.0685703745
122	0.06850671193
123	0.06839600384
124	0.06832196336
125	0.0682054114
126	0.06811938864
127	0.06807690817
128	0.06801974051
129	0.06794635882
130	0.06781381758
131	0.06777315848
132	0.06766264416
133	0.06761027406
134	0.06757444351
135	0.06754706876
136	0.06749198599
137	0.06741649616
138	0.06737134177
139	0.06733309307
140	0.06730373419
141	0.06721097625
142	0.06716343471
143	0.06711764478
144	0.06707449002
145	0.06702899461
146	0.06700896732
147	0.06698479353
148	0.0669499628
149	0.06690272352
150	0.06685139199
151	0.06681917318
152	0.06680569506
153	0.06677759177
154	0.06675055029
155	0.06668584139
156	0.06664879402
157	0.06655758619
158	0.06653551277
159	0.06650329396
160	0.06645606244
161	0.066437531
162	0.06641733321
163	0.06639219835
164	0.06637605407
165	0.06633621652
166	0.06630233135
167	0.06627372427
168	0.06622851562
169	0.06621571956
170	0.06617617653
171	0.06614118304
172	0.0661155599
173	0.0660968502
174	0.06608262804
175	0.06605572607
176	0.06603712488
177	0.06600456504
178	0.06598339069
179	0.06596319289
180	0.06594032118
181	0.06591610088
